id,Transcript,Confidence,Label
0,"I love to travel, so I've been traveling all over the city, and I've been traveling all over the city, and I've been traveling a lot, but I've been traveling a little bit too long, and I've been traveling a bit too long, and I've been traveling a bit too long, and I've been traveling a little bit too long, and I've been traveling a bit too long time, and I've been going to Spain and Portugal, and I've been doing a lot of it, but I've been going to Spain and Portugal, and I've been doing a lot of it, but I've been going to Portugal, but I've been traveling a little bit too long time.",,0
1,"But if you're not, if you're not, you're not going to be a cat, you're not going to be a cat, you're not going to be a cat, you're not going to be a cat, you're not going to be a cat, you're not going to be a baby, you're not going to be a baby, you're not going to be a baby, you're not going to be a baby, you're not going to be a baby, you're not going to be a baby, but you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're got to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're going to be a baby, you're a baby, you're going to be a baby, you're going to be a baby, you's going to be a baby, you're going to be a baby, you're going to be a baby, you'",,0
2,"I'm a little fond of eating a little bit, but I'm kind of a little bit more fond of eating a little bit, but I'm a little bit more fond of eating a little bit of meat on the side of the side than a little bit of meat on the side.",,0
3,"I love cats, and I love cats, and I love cats, and I love cats, and I love cats, but I love cats, and I love cats, and I love cats, but I love cats, because I've always loved cats, but I don't like cats, because I've only seen them, but I don't want to look at them, but they're a little bit more like cats, and they're a little bit more like cats, and they're a little bit more like cats, and they're a little bit more like cats, but they're a little bit more like cats, and they're a little bit more like cats, but they're a little bit more like cats, and they're kind of a little bit more like cats, but they're a little bit more like cats and they're a little bit more like cats.",,0
4,"What is my favorite food? I love to eat mostly uneatable and uneaten, especially uneaten, but I love to eat uneaten and uneaten food. So I love the cake and the crescent beans. So what's the favorite food? I don't think God likes it so much that it's much better to eat it than to eat it dry, and I don't like it so much than to eat it so much.",,0
5,"I'm supposed to be the youngest of three children, but I'm going to be the youngest of three, the youngest of three, the youngest of three, the youngest of three, the youngest of three.",,0
6,I don't want to go anywhere. I don't want to stay here. I don't want to stay here. I don't want to stay here. I don't want to stay here. I don't want to stay here. I don't want to stay here. I don't want to go there. I don't want to go there. I don't want to go there later. I don't want to go there.,,0
7,"I don't know if it's good enough, but if it's not good enough, it's a little too good to eat, but if it's a little too good to eat, it's a little too good to eat.",,0
8,"I don't like it most. I don't like it most. I don't like it most in the winter, but it's the most beautiful in the winter. I don't like it more in the summer than it's in the winter. I don't like it more in the winter than it's in the winter. I don't like it more in the summer than it's in the spring. I don't like it most in the summer, but it's very much in the summer, because it's always in the spring. I don't like to see it in the winter, but it's always in the spring, but it's always in the spring. I like to see it in the winter, but it's always in the snow. I don't like to see it in the snow. I love to see it in the snow. It's just like to be in the most beautiful in the snow. I love to see it in the snow. It's just in the snow. It's not in the spring. It's not in the spring. It's not in the spring, but in the spring, but in the spring, but it's not in the spring, but in the spring, but in the snow. It's not in the spring, but it's not in the spring. It's always in the spring. It's not in the spring. It's always in the most beautiful in the most beautiful in the most beautiful in the snow.",,0
9,"I've been traveling all the way abroad, but I've been traveling all the time, and I've been traveling all the time, and I've been traveling all the time, and I've been traveling all the time, and I've been traveling all the time, but I've been traveling all the way out of the country all the time, and I've been traveling all the time, and I've been traveling all the time, and I've been traveling all the way out of the country all the time.",,0
10,"My brother and sister are still pregnant, except that my brother and sister are still married, and my sister is married to my sister. My sister is married to my sister. My sister is married to my brother. My sister is married to my sister. My sister is married to my sister. My sister is married to my sister. I'm married to my sister. I'm not married to my son. I'm married to my brother.",,0
11,"When I was a kid, I remember that the most ancient dream I had ever had was that I was going to start a ballet, but I was going to love it for the first time, that I was going to become an artist later, and that I wanted to be an artist later, and I wanted to be an artist, and then I wanted to be a little bit of a teacher, and I wanted to be a little bit of a kid, and I wanted to be a little bit of a kid, and I wanted to be a little bit of a kid, and I wanted to be a little bit of a kid, and I wanted to be a little bit of a kid, and I wanted to be a little bit of a kid, and I wanted to be a little bit of a little bit of a kid, and I wanted to be a little bit of a little bit of a little bit of a little bit of a little bit of a kid, but I wanted to be a little bit of a kid, and I wanted to be a little bit of a little bit of a kid, but I wanted to be a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a kid.",,0
12,It's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's very cold and it's a little cold and it's very cold and it's very cold and it's a little cold and it's very cold and it's very cold and it's very cold and it's a little cold and it's very cold and it's very cold and it's very cold and it's a little cold.,,0
13,"I don't want to go to high school, but I don't want to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have to go to high school, I don't have kids.",,0
14,"If you're a pet, have you ever been raised? And when you've been an infant, you've been an infant for a long time, and you've been an infant for a long time, and you've been an infant for a long time, and you've been an infant for a long time, and you've been an infant for a long time, and you've been a baby for a long time, and you've been a baby for a long time, and you've been a baby for a long time.",,0
15,"I'm a big fan of soccer, but I'm a big fan of baseball, and I'm a big fan of baseball, and I'm a little too excited to watch baseball, but I'm a little too excited to watch baseball, and I'm a little too excited to watch baseball, but I'm a little too excited to watch football.",,0
16,"Now, if I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little sick and I'm a little sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick and I'm a little bit sick now that I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little older and I'm a little older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit older and I'm a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit",,0
17,"Now, if you're going to watch a lot of TV videos, you're going to watch a lot of TV videos. I'm going to watch a lot of TV videos. I don't know if I'm going to be able to do it now, but it's going to be a little bit more fun.",,0
18,"I don't like the weather, I just love the weather, because I love the weather, because I love the weather, because I love the weather, because I love the rain, and I love the view, if it's raining, and I like it a little bit too much, but if it's wet, and I like it a little bit too much, I like it a little bit too much.",,0
19,I've been watching movies since I was a kid. I've been watching movies since I was a kid. I've been watching movies for the first time. I've been watching movies for the first time. I've been watching movies for the first time. I've been watching movies for the first time. I've been watching movies for the first time.,,0
20,"I didn't want to come here this May, but my mother did come here this year, and I didn't want to come here a little bit later, but I didn't want to come here a little bit later, but I wanted to come here a little bit later this year, and I wanted to give you a gift, but I didn't want to come here a little bit later, but I didn't want to come here a little bit later this year, and I didn't want to come here a little bit later.",,0
