Transcript,Confidence,Label
"So there aren't really many companies. There are no companies, but corporations want that kind of marketing, and in the case of large companies, they really go after big companies for marketing and stuff, like advertisements. But small companies don’t have that kind of money, they lack funds, so if a lot of small companies are created, there is a huge demand. So it's a really blue ocean over there. That's why that older brother sold really well, in my opinion.",,0
"I have something like that. These guys really have a different way of thinking, right? I wonder if the kids who use Facebook think differently? I haven't used Facebook since my first year of college, but there's something like that. The kids who use Facebook seem a bit... how should I say it? They don't look very cool? Yeah. Not cool. But I don't understand why Facebook seemed so uncool back then, while Instagram seems so cool.",,0
"Oh. So I was just like, really, you know/ still, we talked about it when we went on the MT. Even when we went on the MT, I heard that they were doing this too, one of the seniors was doing this, so I got really angry. Of course, I can't say that it's all my fault; I also have my shortcomings because I’m human. But they really excluded me from the discussion when they were talking about what they did. So what we talked about back then was that anyway, I said, we’re not going to see each other separately after graduation, right?",,0
"Since I went to school with the purpose of getting a job, I think it would be better for me to go and do it quickly now. Because if I go to school, in my opinion. But my friend is also attending that school, and he said that his major disappeared after he went to the military, so it got merged with another major. So he went as a freshman and started again from freshman year. But his major was a strange major. It was some weird marine something major.",,0
"Is it (5, 3)/(Oh three)? (5, 4)/(Oh san) is right. b/ But b/ I don't know. (3. 2)/(Three point two) or something like that, I could say something about it, right? Instead, b/ I think you just need a defensive argument. b/ Just because your grades are low doesn't mean they are extremely low. That's enough. So what you did was+ what+ what you were more interested in and b/ you definitely showed your passion for that, but in that process b/ you couldn't keep your grades up* that’s how it should be, but b/ if you didn't do that for sure and didn't keep up your grades either, b/ those people would dislike it, right?",,0
"b/ I saw someone else getting hit, not just another person. So I realized it was okay to hit. Then while I was sleeping, in the first period, we had a lot of English, so I just endured it. Then starting from the second period, I started to hit while sleeping, but one day, in the third period, it was all about English, and suddenly while I was sleeping, the kids found out and said they would take away my mat, saying they would give it back on the day of the graduation ceremony. But how many days has it been since the vacation ended? l/",,0
"o/ I can't do anything about it. So b/ Actually, I asked someone else to check for me. There’s a mom in the same class that Seung-ah knows, and b/ that mom said they already had a school uniform sharing event. (2)/(for) 3rd grade/(third grade). b/ But Seung-ah didn't say anything, so damn* since I know that mom, if I just ask, I could get it right away, but b/ she didn't mention it. So b/ I called later and b/ talked about it once. I mentioned Seung-jun's size and things like that, and b/ I've asked for it. But there’s still no word about it yet. b/",,0
"Transferring is tough. Because for transferring, there has to be a gap. You're transferring to fill that gap, usually. I understand that when a student originally at that school leaves, a vacancy is created, and that's when transfers are sought. But our school has quite a few transfer students. However, most transfer students are older. There are some who are twenty-nine, some who are twenty-six, and well, if they're twenty-six, they're somewhat similar to you. They are married, have kids, and some even come in their early thirties.",,0
"I'm not really putting in the effort right now, and the mindset is like ""Oh, it's over now, so let's do some exercise to get in shape,"" I was thinking a bit like that. But now that it's done, I just feel like, I don't want to look for something to do on my own. I just lie down all day, almost. Until before my part-time job. Even when I go to the gym, I just go to the sauna. There's a sauna at the gym, so I just lie there and use the massage chair for about an hour and a half, and I absolutely don't run.",,0
"If that happens, coming out late means that we can take reservations from customers in advance, and if there are peak times when the seats are fully booked, we can take reservations from those customers. Then, those reservation customers can write down their names and numbers while waiting there, and if they also write down which menu they would like to eat, that would be great. If someone later comes and asks if they can choose, we can let them choose, and roughly it will work out to a certain amount.",,0
