Transcript,Confidence,Label
"o/ b/ That's why they don't have a lot of companies. b/ They don't have a lot of money. b/ They want to do that kind of marketing. b/ If you're a big company, you get a really big company and you do marketing and you do this kind of advertising. b/ But small companies don't have that kind of money. b/ They don't have the funding. b/ If you have a lot of small + small companies like that, there's a lot of demand. n/ That's why it's a blue ocean. b/ That's why he sold so fast, I think. n/
",,0
"o/ I have that thing. They have real brain circuits+ that/ thinking circuits. b/ Do kids on Facebook work differently? I want to think. b/ I haven't been on Facebook since college, since (freshman year)/(sophomore year). b/ I have a little bit of that thing. I know some kids who are on Facebook. b/ What am I supposed to say? It doesn't look cool? Yeah. Not cool+ But b/ I don't know why Instagram looks so cool when Facebook looked so uncool back then. b/
",,0
"So I was just like, hey, what's the big deal, but I told them when we went to mt. When we went to MT,* he was doing this again,+ and one of them was doing this to the seniors,+ and I was b/ so angry. I mean,+ of course,+ it's not all my fault,+ because I'm not good enough,+ I'm a person,+ but he did it,+ so I was like,+ we talked about it,+ and I was like,+ we're not going to see each other after we graduate,+ anyway.
",,0
"But my friend also went to that school, and she said that when her department went to the army, they got rid of it, so they merged it with another department, so she went to (first grade)/(first year), and then she went back to (first grade)/(first year). But b/ his department was a weird department, like, marine or something/ weird or something.
",,0
"(5, 3)? (5, 4)? (5, 4) is what I'd say. b/ But b/ I don't know. b/ I mean, what can you say about a (3. 2) or a (3. 2) or something like that? Instead, b/ I think you just need a defensive argument. b/ It's not like you got a low grade, it's not like you got a really low grade, it's like, you know, you were more interested in what you were doing, and you were really passionate about it, and you worked really hard at it, and you didn't get credit for it*. b/ But if you didn't work hard at it and you didn't get credit for it, they're gonna hate you, right?
",,0
"b/ de* I saw the other class do it too, so ah/ I can put it down. And then I slept, and now* in (first period)/(first period) we were so many English, so a/ b/ Well, then in (first period)/(first period) I just tolerated it, and then they slept like that from (second period)/(second period), and then one day in (third period)/(third period) they were English, and then suddenly I was sleeping, and they said, ""We're going to take away the mat,"" and they said, ""We're going to give you a vacation day,"" and how many days have we been on vacation now? l/
",,0
"o/ I can't do anything about it. b/ Actually, I asked someone else to look into it. Seung-ah knows a mom from her class. b/ The mom said that she already organized a school uniform giveaway. (b/ But Seung-ah didn't tell me, so I said, c* I know her mom, so if I ask her, I can get it right away. b/ But she didn't tell me, so I called her later and b/ I talked to her once. b/ Seung-jun told me about this with Sais, so I asked her, but she didn't talk to me yet.
",,0
"Transfers are hard because if you're transferring, you're a loser. Now you're transferring to fill in the gap, usually. I think they're looking for transfers now because they're losing people from the original school and they've got an opening. But we have quite a few transfers, but most of them are older. b/ Twenty-nine years old, twenty-six years old, b/ Twenty-six years old is kind of like you. Married, with kids, with a wife, and they come in their early thirties.
",,0
"I'm doing it now, but I'm not doing it hard, because I was kind of like, um+ uh+ now that it's over, let's do some body-building exercises, b/ but now that it's over, u/ I don't want to do it, because I'm just like, uh, I'm gonna have to find my own way to do it because it's over. b/ I lay down all day, almost. I go to the gym, I go to the jjimjilbang u/ The gym has a sauna, b/ I go to the sauna, I lie down, I get a massage chair, I work out for an hour and a half, b/ I never run.
",,0
"b/ That's how it happens + that's why we come out late b/ We take reservations in advance, and we have peak times when we're full, and we take reservations from those people, and those reservations are b/ Now, when we wait on them, we ask them to write down their name, write down their number, and then b/ write down what they want to eat, and then we say thank you, and they write it down, and then if there's someone who says, ""Can I come back later and pick it up,"" then they can pick it up, and it's usually a certain amount.
",,0
