Transcript,Confidence,Label
"I actually contacted the Central District Prosecutor's Office regarding the intelligent crime investigation. By any chance, what is your relationship? They are working among friends called Spring. These days, they are studying, so what are you talking about? We have more on our side.",0.845971465,1
"Hello, this is the Seoul Central District Prosecutors' Office. If you need to contact again, can we talk? Yes, is this the person from Gwangju, Jeollado, who goes by the name Kyung? No, there isnât anyone like that. Why are there so many calls coming from Eun Hee-kyung? Not long ago, they had a basis for contacting me at the aquarium. I contacted them because I realized this was connected to my bank account. Whatâs important is that when we checked, it was about an hour apart in Gyeonggi-do, Gwangmyeong. Are you confirming this yourself? Itâs completely gone. Hello? If so, do we actually have anything that was issued? If not, while commuting, are there items like your wallet or ID that could leak personal information? Iâve found out some facts from the Financial Supervisory Service, and it has been confirmed that yes, among those involved in this case, there were people whose names were misused, directly involving Moon Hee-kyung and others from the Yangsan Terminal. Today, in the deposit settings, if I receive contacts coming to my account, whether they guide me or I confirmed my identity at the stop before the priest got the body check. I will contact you.",0.879500687122345 0.892507791519165,1
"You can consolidate your overdraft account with government support funds from Shinhan Bank. Please press 1 or 2 to apply for an overdraft account.",0.840980649,1
"Hello? Yes, hello. Yes, this is Manager Park Cheol-min from the Customer Service Department. Yes, is this Mr. OOO, the customer? Yes, I heard you were looking for Assistant Kim Sang-hoon. Yes, I received a call earlier. Yes, what was the reason for your call, customer? I was just wondering how things were going. Um, what are you trying to do, customer? I was wondering how to handle things. Is it about the documents? Yes, processing, the processing part? Yes, the processing part. Ah, then first of all, I apologize since I did overturn something to some extent earlier. Customer, to be honest, Assistant Kim Sang-do is also a branch employee of ours. Heâs a branch employee but there has been some inappropriate dealings between you and him, which has made me somewhat upset, and that is why I wanted to contact the person in charge to provide some guidance. To be honest, I'm also worried about that part. Since he is working at our branch, and thereâs this risk of him potentially losing his job, you being concerned about the loan funds is certainly valid. However, this part, if it goes up to the headquarters, our branch's image will also suffer. Yes, thatâs why I wanted to help you as much as possible, which is why I contacted you. But you keep discussing just the funds... We need to find a solution to resolve this. We have to find a way to ensure that you can accurately receive your funds, and the person in charge is aware that he is currently a financial company employee. He is aware of this, yet he still proceeded with these actions, so I think within our branch, he will face some consequences. Yes, yes, regarding that part, if I may guide you, if you want to avoid this issue from going up to the headquarters, this document hasn't been sent to the headquarters yet. Yes, the increase in your transfer card is something you have paid for, right? You're aware that the relevant legal representative knows about the two paid transactions already. However, I am currently confirming this, and I've put a delay on it. You need to get a new transfer card issued concerning the amount of 4 million won that you previously had with inappropriately made payments. Since you currently have issues with inappropriate payments, thereâs little I can do to cover this up. Therefore, you need to have the transfer card reissued, and then ensure that there were no inappropriate transactions. The transfer of 4 million won that you made regarding your transfer card, this should be refunded together with the total of 27 million won that should be going out from us, right? You need to receive it as 31 million won. Itâs not 27 million, right? What do you mean? Itâs 31 million, but isnât it 27 million? The 27 million won is for the loan funds, and in this case, you need to secure the refunds for the improperly made payments with the total coming to 31 million won. How much is that? Does it go higher? What do you mean? Do I have to pay 400,000 won more then? If you want me to handle this neatly, it would be best to process the reissuance of the 400,000 won portion concerning the transfer card increase. Yes, you know this part, customer. I checked, and you had some difficulties when proceeding with the loan. The person in charge covered some payments for you, right? Please just process that, and I will head down to the reissuance department to process it. After that, I will issue the re-issued cards reflecting your full payment, and anyway, there wonât be any issues regarding your residential area or anything. You can then handle the processing again afterwards. Yes, yes, then just process the payment made by the person in charge, and I will inform the relevant legal representative that there were no inappropriate payments while reporting that the transfer card was reissued. Then, I would have to pay an additional 1.5 million won, is that right? Thatâs right. Just process the card reissuance for the payments covered by the person in charge. Those inappropriate transactions will be refunded back to you. What do I do though? I donât have the money. Ah, customer, the minimum amount I can cover for you in this case is for the inappropriate transaction by the person in charge, which you need to process yourself. If that doesnât happen, thereâs really nothing we can solve from our side, customer. I will just call you back later. How long can we delay this? I need to rewrite the documents to avoid punishment, and the person in charge will inevitably face reductions in salary or missed promotions at the branch level. But first, your loan funds are more important, right? You need to let me know how long I should hold this up. I need to communicate with the legal team regarding this. I need to explain everything, and if the legal representative directly makes a request to the headquarters, then unfortunately, I wouldnât be able to cover this thing up. Then I will try to find a way as soon as possible. So, Iâll place a delay until lunchtime. Just until noon, if you contact me through your person in charge, make sure to let me know immediately. Is lunchtime until 1:00 or 1:30? Lunchtime is until 1:30, customer. Understood. Alright then. Yes, yes.",,1
"Are you asking if a working person is related to a dog? If there is no relation, can you use your personal information? To the Seoul Central District Prosecutors' Office.",0.801460385,1
"The first thing is, our customer, now we are collecting articles only from you, and it seems like we are taking away existing customers. Therefore, if you request a direct situation, you might be able to ask if people came through NH Nonghyup. If you do so, please mention that my cousin works at NH Nonghyup and that I am handling this for credit management purposes. You need to explain this well. First of all, you need to make a request, and it will take about an hour and a half. We need to take our time slowly. Thatâs the first point. Secondly, you need to request a proof of payment for the records. The handling of this is supervised in a way that is confirmed with the Financial Supervisory Service, our NH Nonghyup, and the counterpartâs financial institution, Moa Savings Bank. The escrow account is not just for ordinary people; if you ask how this works, you should mention that my cousin works at Nonghyup, as that part might not be processed. We are providing assistance in this indirect way, so customers should not be upset, and even if they say something over there, I have to do this, and you have to go out to make it happen.",0.91159588098526 0.8852831721305847,1
"Yes, yes, yes. Please ask whatever you're curious about. So, originally, I found out from somewhere else that you use a corporate account, but why are we using a personal account? I can't fully understand that. It's not that we don't use it at all. We are using it. But there are people who handle that separately, and we are trying to maximize profits, so you can think of it as adding more to that. Oh, additionally? Yes, since we are now reaching a certain scale, financially, we are trying to handle more of it now. As you mentioned, we also use the corporate account to handle that. Yes, yes, we handle that, and aside from that, we are handling more externally. Externally? Yes, you understand what I mean, right? Yes, so if we rotate it through our account, legally, that would be considered money laundering, right? Well, to put it simply, it's not so much money laundering as it is, well, financial trading, right? Yes, that's right. But? Yes, later on, legally, will we not get caught? There won't be any problems. As I mentioned, the coins transfer from here to an electronic wallet, right? Yes, and then you transfer it to either a Korean wallet or a Japanese wallet like that. Since it's being monetized from that state, honestly, for example, there is no evidence that (bleep) did any currency exchange from a certain place. Yes, for example, yes. There needs to be a record that there was a transaction with the currency exchange agent, and only then can it be considered normal. Yes, there needs to be a record of (bleep) depositing a certain amount into the currency exchange account, and then receiving a certain amount in cash from that person, right? Exactly. Yes, that record doesn't exist. So, this is a normal transaction. It's not a currency exchange. Hmm... Itâs not a currency exchange. So, do I have to use my account regardless? That's right. As long as itâs not a personal account in your name, well, sometimes people ask if they can use their mother's or relative's account. But we are putting money into those accounts after all. We are depositing company transaction funds there. For example, if (bleep) brings in a friend's or close friend's account. Yes. But, it's said that you can trust them, but money is something you can't know for sure. For instance, if we say to buy 3 bitcoins and then send about 40 million won, how do you know something might happen to that person in that moment, leading to an incident? If that happens, both parties and the company would be in trouble. In fact, it would be a bit ambiguous to hold (bleep) responsible for it. Yes, that's right. Since they are the one causing the loss, it would be awkward to continue working. Yes, yes. We have to recover the lost amount, so we have to keep them working. We cannot use that account, and it becomes a complicated situation. Therefore, we've explained since the beginning that we only use the accounts of current employees. Oh, so after we receive that money and buy, then we cash out, that's not illegal nor is it legal, right? It's somewhat of a loophole. There are some loophole aspects, but legally, there cannot be any sanctions on that. Hmm. Yes, I can clearly tell you that it is not illegal. It's a normal currency transaction. Yes, and also, I was going to apply for a visa earlier, but it didnât work. Yes, yes, the visa application has to be submitted in the morning if you want it to go through that day. Oh, so I was going to resolve it today, but it can only be done in the morning? You probably need to go by 10 or 11 AM for that dayâs application to go through. Hmm. So, who will be picking me up? Someone from our staff will come to pick you up. Oh, so they will take me into the office? Yes, yes, yes. Anyway, you came all the way here, and you canât just take a taxi by yourself without anyone here, especially since you can't speak Chinese. Yes, yes, someone who can speak Korean will come and take you. Yes, I understand. Then I will contact you again tomorrow morning via KakaoTalk. What are you curious about? I've heard there's a 30-day visa and a 90-day visa. Hmm, it doesnât matter; you can choose either. Just ask for the simplest and cheapest one for travel. Since when you come here, I have a corporate company, so we will issue you a work visa. During your working time, after that, if you obtain a work visa, you will have a visa that allows you to come and go at any time for a year. Yes, so you can just get the cheapest one. Hmm, okay, I will contact you if I have any other questions. But please send me a message first as I've been busy with external tasks, and we are currently hiring local staff. Yes, yes. I've been going back and forth for local staff interviews. Ah~ If you send me a message, I'll try to call you back as soon as possible. Yes, understood. If you have any questions, please reach out. Yes. Yes.",,1
"Hello? Hello? Yes, yes. Ah, yes, the results for you have come out. Yes, yes. Ah, right now, our limit is 9,300 and it's at 2.6%. Ah, yes, this is primarily a virtual result from our side. Yes, yes. We will upload the virtual result to the Korea Asset Management Corporation. Yes, yes. Regarding the assets, a guarantee insurance must be issued for this amount for the loan to be executed. Ah, yes, yes. The primary examination has been completed, and for this secondary examination, there are some parts you need to apply for directly. Yes, yes. Yes, I will explain that part to you, and thereâs no need for you to write it down. Ah, yes, I will read it out to you. Yes, yes. First, you don't have any problems using a computer, right? Yes, yes. Then if you search for the Korea Asset Management Corporation on Naver or Daum, KAMCO will come up. Yes, yes. Go there and create an electronic credit report. Yes, yes. Once it's completed, you need to register your certificate as a customer. Yes, yes. Are you currently using a certificate? Yes, yes. Ah, which bank's certificate are you using? It's from Woori Bank. Ah, currently it's from Hana Bank. Yes, yes. The certificates you can register with us are from NongHyup and IBK, only these two. Ah, then I guess I'll need to get it reissued from NongHyup. Yes, yes, then please get it issued from NongHyup. Is that security medium a security card or OTP? It's a security card. Ah, security cards do not work, customer. In that case, please go to NongHyup and apply without changing or discarding it. Yes, yes. Go to NongHyup and apply. You can go to any of our branches. Yes, yes. Please apply for internet banking and get it issued as an OTP. Ah, yes, yes. Then contact me once you do that, customer. Ah, yes, yes. Okay, then please receive it and contact me, customer. Yes, understood. Yes.",,1
"This is a part where we have a recording, and since it's included with your consent, you don't have to worry about it. Currently, the meat situation is a bit old; you know that it hasn't been applied for over there for a long time. Let's have a call about it once. Honestly, you said you would come up to Gagok-ri, but then we couldn't get in touch for a while, and eventually, we did get in touch late, right? The manager from the review department also came without the team leader, but I can't hold on to this erroneous issue for too long. You need to let me know if you're not having a meal right now.",0.915989757,1
"If you find it burdensome and don't want to do it, please go to the Seoul Central District Prosecutor's Office. So don't cut me off, just try. If you give me a date, I'll let you know. I'll wait all day today.",0.814467549,1
"Hello? Hello? Yes, yes, is this the right person? Yes, yes. Hello, this is a sports toto site. Yes, Iâm contacting you because if you have an unused account, we can offer you an advance payment of 4 to 4.5 million won per month and rent it out. Oh, I donât do toto, how did you get my number? Ah, have you ever registered online? No, Iâve never registered. Ah... How would I receive the money if I do it? We use it for our clients' game currency fund. Oh, I see, for 4 to 6... So if you have an unused bank account, we can offer you an advance payment of 4 to 4.5 million, and if you can do it... Can I know what site it is? Itâs a sports toto site. Ah, then Iâll think about it and contact you later. Yes, understood. Yes.",,1
